epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,784.355,0.74815,4.33725,1.18068,0.69968,0.08957,0.13727,0.1216,0.82676,4.3225,1.25416,8.09686e-05,8.09686e-05,8.09686e-05
2,1591.68,0.72296,3.61931,1.17823,0.97319,0.12568,0.25276,0.22633,0.83271,3.82081,1.23432,0.000160695,0.000160695,0.000160695
3,2400.64,0.74873,3.07194,1.18369,0.84645,0.20844,0.3452,0.29268,0.89552,3.76663,1.27722,0.000238811,0.000238811,0.000238811
4,3209.98,0.74026,2.60891,1.167,0.57869,0.39595,0.51291,0.43204,0.84977,3.338,1.31843,0.000236753,0.000236753,0.000236753
5,4027.34,0.72755,2.28738,1.14783,0.44277,0.61946,0.61049,0.50609,0.91411,2.78296,1.31527,0.000234338,0.000234338,0.000234338
6,4846.6,0.69906,2.05033,1.12724,0.61809,0.48514,0.59702,0.52311,0.83266,2.93104,1.26509,0.000231922,0.000231922,0.000231922
7,5664.6,0.67819,1.83591,1.11092,0.66763,0.5527,0.6907,0.597,0.96105,2.90342,1.30962,0.000229506,0.000229506,0.000229506
8,6485.72,0.65441,1.71242,1.09927,0.70781,0.62876,0.78949,0.69919,0.76471,2.23896,1.14668,0.000227091,0.000227091,0.000227091
9,7308.97,0.64121,1.57782,1.08333,0.64504,0.61053,0.75221,0.6283,0.89107,2.26235,1.21196,0.000224675,0.000224675,0.000224675
10,8138.52,0.62033,1.43883,1.07058,0.49808,0.65963,0.69056,0.5803,0.93851,2.47998,1.29697,0.00022226,0.00022226,0.00022226
11,8961.66,0.61102,1.36019,1.05871,0.83293,0.59216,0.74368,0.66167,0.87857,2.01947,1.22526,0.000219844,0.000219844,0.000219844
12,9792.2,0.59516,1.27496,1.05217,0.79572,0.64325,0.79126,0.63361,0.91322,2.3643,1.26084,0.000217428,0.000217428,0.000217428
13,10621,0.58603,1.21554,1.04142,0.77858,0.6322,0.80012,0.71384,0.82829,1.92654,1.20775,0.000215013,0.000215013,0.000215013
14,11449.2,0.56815,1.14593,1.03187,0.69678,0.76107,0.80427,0.71868,0.88357,3.02234,1.19856,0.000212597,0.000212597,0.000212597
15,12279.3,0.57092,1.08468,1.02979,0.69083,0.70872,0.83003,0.74346,0.80859,1.79012,1.20598,0.000210182,0.000210182,0.000210182
16,13106.7,0.55878,1.06457,1.02452,0.57793,0.7614,0.82939,0.72551,0.84587,1.82651,1.24646,0.000207766,0.000207766,0.000207766
17,13936.2,0.55433,1.02227,1.02036,0.83511,0.6527,0.82756,0.74153,0.80425,1.96893,1.17097,0.00020535,0.00020535,0.00020535
18,14764.1,0.54402,0.97885,1.02264,0.87238,0.63649,0.83979,0.72966,0.84446,1.687,1.22955,0.000202935,0.000202935,0.000202935
19,15594.1,0.53762,0.93631,1.01491,0.84647,0.66089,0.83064,0.73146,0.88849,1.85138,1.25992,0.000200519,0.000200519,0.000200519
20,16426.3,0.52177,0.88808,1.00158,0.84383,0.67501,0.82018,0.74044,0.78428,1.82757,1.20837,0.000198104,0.000198104,0.000198104
21,17259,0.52829,0.89846,1.00201,0.73784,0.70758,0.81739,0.72129,0.84833,1.64398,1.22318,0.000195688,0.000195688,0.000195688
